Model,Accuracy_mean,Balanced_mean,F1_mean,ROC_mean,Precision_mean,Recall_mean
CatBoost,0.7708133971291866,0.7468041818539333,0.6810178862000786,0.8122905913986649,0.7291028454052098,0.642159629244963
NuSVC,0.754066985645933,0.7390652923298427,0.6777495206555411,0.8155809371827875,0.6818444714603064,0.6757945651990284
XGBoost,0.768421052631579,0.7428565280721297,0.673739290559062,0.8214823894928729,0.7294802787457224,0.630646117907707
MLPClassifier,0.7497607655502392,0.7344222939505962,0.6718087896306224,0.8023181967835159,0.6787869986260888,0.6685250721574066
SVC,0.75311004784689,0.7347359761936211,0.6691923028930854,0.8101449157122544,0.6875506635227564,0.6546639722281188
LightGBM,0.7617224880382775,0.7353274607611838,0.6647180245823535,0.8113789400819688,0.7224530098816226,0.6194605015051561
HistGradientBoosting,0.7578947368421053,0.7314659700188002,0.6595677820004882,0.8090751841271444,0.7138738505771327,0.6164967790721286
RandomForest,0.7636363636363637,0.7334429367186112,0.6588625312729743,0.8154787310350953,0.7405648098962266,0.5980584197765516
KNeighbors,0.69377990430622,0.7060517512313405,0.6537452587246408,0.7862610401639302,0.5760629394943433,0.7592272666347358
GradientBoosting,0.7349282296650717,0.7192064806191814,0.652342431024558,0.7859937975883773,0.6595960659364655,0.6487669321595033
ExtraTrees,0.7645933014354067,0.7281460892072527,0.6468462509204608,0.8154203970329773,0.759294703621121,0.5675111771266609
LogisticRegression,0.7124401913875598,0.7061356522960873,0.6422538431219628,0.7597095827322047,0.6146373386260608,0.6764066876079114
RidgeClassifier,0.6899521531100478,0.6848515862057869,0.6205612838388708,0.7360466458030079,0.5847124609103747,0.6638565533503243
SGDClassifier,0.691866028708134,0.6855397204385798,0.6198896598050021,0.7373844374216679,0.5886532101530857,0.6578942116923732
LDA,0.6827751196172249,0.6771516220170388,0.611996922172799,0.7260388750966335,0.5771027518300145,0.654378927007061
LinearSVC,0.6933014354066985,0.6799596851555141,0.6085698007849152,0.7324252829616176,0.5952037415989698,0.6242063542885983
AdaBoost,0.6746411483253588,0.6717340522254509,0.6082015703183152,0.7346500501605304,0.567992707984426,0.6577435690467157
PassiveAggressive,0.6885167464114833,0.6774312059948385,0.6070561743946488,0.7244093458558772,0.5879374008061113,0.6298513315117249
Perceptron,0.6779904306220097,0.6654558141068692,0.5903799890734062,0.7233181232265526,0.5757607595725828,0.6091714251724806
Bagging,0.7110047846889952,0.6766436704963196,0.5821002985655308,0.7525547369335005,0.6596504573751508,0.5261708295462115
GaussianNB,0.6148325358851674,0.6313618907394387,0.5816823770336829,0.696491380180009,0.49934481691389515,0.7011423012239457
BernoulliNB,0.6253588516746411,0.6294494323542226,0.5695368099912755,0.6805934014902083,0.510710617280095,0.646344466112492
DecisionTree,0.6531100478468901,0.6400431199306796,0.5602497069858249,0.6400431199306796,0.5472924593135846,0.5785687041553306
ExtraTree,0.6320574162679425,0.6193544338389426,0.5386229246411527,0.6193544338389427,0.5195878468675356,0.5634681708821354
QDA,0.615311004784689,0.5,0.0,0.6696042704078827,0.0,0.0
